import time: self [us] | cumulative | imported package
import time:      1863 |      22493 |   rich.pretty
import time:       868 |        868 |           quopri
import time:       634 |        634 |             email._parseaddr
import time:       740 |       1374 |           email.utils
import time:       712 |        712 |           email.errors
import time:       788 |        788 |               email.quoprimime
import time:       441 |        441 |               email.base64mime
import time:       398 |        398 |                 email.encoders
import time:       487 |        884 |               email.charset
import time:      1016 |       3128 |             email.header
import time:       680 |       3808 |           email._policybase
import time:       559 |        559 |           email._encoded_words
import time:       423 |        423 |           email.iterators
import time:      1471 |       9212 |         email.message
import time:       742 |        742 |         importlib.metadata._text
import time:       584 |      10537 |       importlib.metadata._adapters
import time:       879 |        879 |         email.feedparser
import time:       603 |       1481 |       email.parser
import time:      6984 |      19001 |     utils4plans
import time:       466 |        466 |       rich._null_file
import time:       557 |        557 |       rich._log_render
import time:       623 |       1645 |     rich.logging
import time:       732 |        732 |         rich.default_styles
import time:       540 |        540 |         rich.theme
import time:       535 |       1806 |       rich.themes
import time:       408 |        408 |       rich._export_format
import time:       418 |        418 |       rich._fileno
import time:       957 |        957 |       rich.markup
import time:       545 |        545 |       rich.pager
